Album,Folder,Source,Output,Texture,Original Photo,Timestamp
Monomial,monomial,..\Image_Output\DSC_8107.jpg,source\images\albums\monomial\0001_DSC_8107.webp,,DSC_8107,00:00.000
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8501.jpg,source\images\albums\yardstick-metric\0002_DSC_8501.webp,,DSC_8501,00:00.117
Monomial,monomial,..\Image_Output\IMG_9322.jpg,source\images\albums\monomial\0003_IMG_9322.webp,,IMG_9322,00:00.233
Intersection,intersection,..\Image_Output\IMG_9676.jpg,source\images\albums\intersection\0004_IMG_9676.webp,,IMG_9676,00:00.350
Jacobi Matrix,jacobi-matrix,..\Image_Output\IMG_9375.jpg,source\images\albums\jacobi-matrix\0005_IMG_9375.webp,,IMG_9375,00:00.467
Mode,mode,..\Image_Output\DSC_8412.jpg,source\images\albums\mode\0006_DSC_8412.webp,,DSC_8412,00:00.583
Monomial,monomial,..\Image_Output\DSC_0191.jpg,source\images\albums\monomial\0007_DSC_0191.webp,,DSC_0191,00:00.700
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9380.jpg,source\images\albums\yardstick-metric\0008_IMG_9380.webp,,IMG_9380,00:00.817
Jacobi Matrix,jacobi-matrix,..\Image_Output\IMG_8550-已增强-降噪.jpg,source\images\albums\jacobi-matrix\0009_IMG_8550-已增强-降噪.webp,,IMG_8550-已增强-降噪,00:00.933
Magnitude,magnitude,..\Image_Output\DSC_7071.jpg,source\images\albums\magnitude\0010_DSC_7071.webp,,DSC_7071,00:01.050
Intersection,intersection,..\Image_Output\DSC_8570.jpg,source\images\albums\intersection\0011_DSC_8570.webp,,DSC_8570,00:01.167
Monomial,monomial,..\Image_Output\DSC_8561.jpg,source\images\albums\monomial\0012_DSC_8561.webp,,DSC_8561,00:01.283
Monomial,monomial,..\Image_Output\DSC_0950.jpg,source\images\albums\monomial\0015_DSC_0950.webp,,DSC_0950,00:01.633
Monomial,monomial,..\Image_Output\DSC_0930.jpg,source\images\albums\monomial\0016_DSC_0930.webp,,DSC_0930,00:01.750
