Index,Album,Folder,Original Photo,Source,Output,Original Size,Output Size
273,Magnitude,magnitude,DSC_1677.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1677.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0273_DSC_1677.webp,3010x5356,1151x2048
274,Intersection,intersection,DSC_1684.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1684.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0274_DSC_1684.webp,7708x4332,2048x1151
275,Mode,mode,DSC_1690.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1690.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0275_DSC_1690.webp,7713x4335,2048x1151
276,Yardstick Metric,yardstick-metric,DSC_1995 - DSC_2008.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1995 - DSC_2008.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0276_DSC_1995 - DSC_2008.webp,20905x4778,2048x468
277,Magnitude,magnitude,DSC_2410 - DSC_2418.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2410 - DSC_2418.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0277_DSC_2410 - DSC_2418.webp,9648x5461,2048x1159
278,Magnitude,magnitude,DSC_2346 - DSC_2353.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2346 - DSC_2353.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\magnitude\0278_DSC_2346 - DSC_2353.webp,12827x4412,2048x704
279,Jacobi Matrix,jacobi-matrix,DSC_2421 - DSC_2429.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2421 - DSC_2429.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0279_DSC_2421 - DSC_2429.webp,9855x5380,2048x1118
280,Intersection,intersection,DSC_2366 - DSC_2380.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_2366 - DSC_2380.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0280_DSC_2366 - DSC_2380.webp,18761x5671,2048x619
281,Jacobi Matrix,jacobi-matrix,DSC_1826.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1826.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0281_DSC_1826.webp,8256x4640,2048x1151
282,Jacobi Matrix,jacobi-matrix,DSC_1818.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1818.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\jacobi-matrix\0282_DSC_1818.webp,8256x4640,2048x1151
283,Intersection,intersection,DSC_1817.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1817.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0283_DSC_1817.webp,7228x4062,2048x1151
